text,label,technique
"Person1: Dom? What are you?
Person2: You stole her from me. Now I want her back.",0,
"Person1: What will you do now?
Person2: You needn't worry Miss Cartwright. I've been at this a very long time.
Person1: He called you ""MacLeod"".
Person2: Not your concern.
Person1: I left a man dead in Felton.  But you don't really care, do you?
Person2: That bothers you?
Person1: He was innocent.
Person2: He's dead.  Whatever I may or may not feel means exceedingly little to him now.
Person1: What about me?
Person2: You?
Person1: I'm a witness to a murder.  That seems to put me pretty high on your friend's chop list.
Person2: Have you gone to the police?
Person1: No.
Person2: Why not?  I'm sure they'd love to hear your story.
Person1: I'd rather hear yours.
Person2: You are being foolish.
Person1: I'm a historian, Mr. Taupin. Only once in a lifetime do you stare history in the face.
Person2: Go home.",0,
"Person1: Can you show me how this software works? I'm having a hard time figuring it out.
Person2: To be honest, Alex, it’s too complicated for you. You might be better off using something simpler.
Person1: I'm willing to learn, Riley. Just give me a chance.
Person2: I just don't want to waste time on something you might not grasp. But if you're that eager, I'll show you the basics.
Person1: That's all I'm asking for. Thanks for giving me a shot.",1,shaming or belittlement
"Person1: Don't tell me I don't have a choice!
Person2: Right.
Person1: I'm two seconds away from making my choice which means you've got two seconds to tell me why I shouldn't shoot you.
Person2: It's simple.  You need me.  I need you.  And we will both need money.
Person1: I don't need you to get the money -- my money!
Person2: If it hadn't been for me, you would be dead.",1,playing victim role
"Person1: I'm gay. Like you didn't know.
Person2: Andrew. You're not gay; you're ten. You shouldn't even be having thoughts like...
Person1: You mean you didn't have any gay thoughts when you were my age...
Person2: Well, uh...Promise me you won't do anything until you're 18.
Person1: Did you wait until you were 18?",1,persuasion or seduction
"Person1: I'm so pleased you appreciate good wine. Have another glass!
Person2: Thank you, sir.
Person1: My wife... Alex freezes.
Person1: ... used to do everything for me and leave me to my writing.
Person2: Your wife, sir? Has she gone away?
Person1: No. She's dead!
Person2: I'm sorry to hear about that, sir. His face contorted in rage.
Person1: She was very badly raped, you see. We were assaulted by a gang of vicious young hooligans in this house, in this very room you're sitting in now. I was left a helpless cripple. The doctors said it was Pneumonia, because it happened some months later during the 'flu epidemic. The doctors told me it was Pneumonia, but I knew what it was. A victim of the modern age, poor, poor girl. Suddenly his mood changes. He wheels right up to Alex.
Person1: And now you, another victim of the modern age. But you can be helped. I phoned some friends while you were having a bath.
Person2: Phoned some friends, sir?
Person1: Yes. They want to help.
Person2: Help me, sir?
Person1: Help you.
Person2: Who are they, sir?
Person1: They're very, very important people and they're interested in you. Bell rings. Julian rises,
Person1: Julian. This will be these people now. Alex gets up.
Person2: Look, sir. I'm sorry to have troubled you. I think I ought to be going, sir. Julian bars the way.
Person1: No, no my boy. No trouble at all. Alex slowly sits.",1,persuasion or seduction
"Person1: Big giant capacitor.  And that, instead of generating power it'll sort of be --  -- sucking power, from Gotham City, and storing it ... stockpiling it, sort of?  Which, unless I'm being dense, is a novel approach, I'd say.
Person2: And who ... would you say this to?",0,
"Person1: I didn't say that.  Why would I say that?
Person2: Well Daddy and I were thinking that sometimes people tell a story about what they wish would happen.
Person1: I don't want that to happen.  Why would I want that to happen?
Person2: Well you're telling your teachers and your friends --
Person1: Mass hysteria.
Person2: Maybe you're upset that Rachel moved in.
Person1: I'm not upset.  Why would I be upset?
Person2: Look if the truth is you don't feel like talking about this right now that's fine. But don't look me in the eye with a big smile on your face and lie to me. Cause there are only so many lies you're allowed to tell before it starts showing on your face.  You wind up looking like...",1,
"Person1: Wants to fix up her makeup, no doubt.
Person2: Is Looseleaf Harper alive?
Person1: Alive and hale.  He's throwing a little surprise party for his own family.  Is your mother often this unstable?  Penelope!
Person2: She's a real heavy sleeper sometimes.
Person1: Why don't you go to bed--son.
Person2: I can't take my eyes off you.
Person1: Tomorrow's another day. PAUL You know what my English literature teacher said about you?
Person1: Can't it keep till morning?
Person2: She said you were legendary.  I wrote a theme about you, and she said, ""Your father is a legendary hero out of the Golden Age of Heroes.""
Person1: That's nice.  You thank her for me. Go to bed and get lots of sleep, and then you thank her in the morning.
Person2: Tomorrow's Saturday.  Anyway, she's dead.
Person1: Penelope!
Person2: She was killed in the park two months ago--in the daytime.
Person1: Penelope!
Person2: She was on her way home from a meeting of the African Violet Society, and they got her.
Person1: Will you go to bed?
Person2: Yes sir.  If you can't wake Mom up, I've got double-decker bunks.
Person1: Scat!",0,
"Person1: Where did you get this cauliflower?
Person2: From your office, sir.
Person1: Didn't you prepare it with the celery before my lecture?
Person2: Yes, sir.  But I must have taken the wrong one when we came up.
Person1: Are you trying to make me look like an idiot?",1,
"Person1: Alone again.  What are you up to today?
Person2: I'm doing some volunteer work.
Person1: Need any company?
Person2: You? Volunteer? I don't think so.
Person1: I don't know? Maybe I'd like it. I'm trying to change here. You could be supportive.
Person2: Okay.
Person1: Babe, you're looking at the next Mother Teresa.",1,shaming or belittlement
"Person1: What do you want, Senator?
Person2: Saunders--it's going to go pretty bad for Jeff tomorrow. There's only one thing that can be done for him now--  I--I've written his resignation. He resigns under protest--denying all charges. No one will ever be sure if he was guilty or not. It leaves him with at least a shred of honor. The other way--branded openly in the Senate--expelled--he'll never live it down. Rather a simple compromise than utter ruin. In a year--the whole thing might be forgotten--
Person1: What are you driving at? You want me to get him to sign that?
Person2: Yes--
Person1: Why don't you do it yourself?
Person2: He's lost complete faith in me--
Person1: Well--me, too!
Person2: But--you love him, don't you, Saunders?
Person1: What are you talking about? What difference--?
Person2: Do you?
Person1: All right--yes! And what does that make me to him? Nothing! I've got to go about my own business--and forget it!
Person2: I thought I could, too.  My business--this fine future! I have no future I care about, if this boy is broken! I--I can't sleep. The only important thing in my life now is to save what I can for him. I want him to get a start again--I'll see that he's taken care of as long as he lives--!  Saunders--whether you ever mean anything to him or not--
Person1: Me! Me ! I still don't see why I should--! If you love him so much, why don't you go to him yourself and-- ? Or better still--get up in that Senate and fight for him!
Person2: It's too late now--it's impossible!
Person1: So I go right back where I was-- carrying compromises--covering up-- back to political tricks--this time for--! No! I was just getting rid of all that. If I did anything, I ought to go and tell him to stand up and--. No! I don't want any part of it! Smith or anything else! I'm all through. I want to be left alone!",1,persuasion or seduction
"Person1: You are?
Person2: Yes, I am.
Person1: What are you trying to tell me?
Person2: What Roma's trying to tell you. What I told you yesterday.  Why you don't belong in this business.
Person1: Why I don't...
Person2: You listen to me, someday you might say, ""Hey..."" No, forget that, you just listen what I'm going to say: your partner depends on you.  Your partner...a man who's your ""partner"" depends on you...you have to go with him and for him...or you're shit, you're shit, you can't exist alone...
Person1: Excuse me...
Person2: ...excuse me, nothing, you be as cold as you want, but you just messed up a good man out of six thousand dollars and his goddamn bonus 'cause you didn't know the shot, if you can do that and you aren't man enough that it gets you, then I don't know what, if you can't take some thing from that...  you're scum, you're fucking white-bread.  You be as cold as you want. A child would know it, he's right.  You're going to make something up, be sure it will help or keep your mouth closed.",1,persuasion or seduction
"Person1: He didn't have to hit him. It's not exactly like I'm sleepin' with the guy! And he makes me sneak around to see my own friends! What is that all about?
Person2: Well, I guess it's 'cause he loves you so much. He's jealous and worried.
Person1: He cares about what I do?
Person2: Look, I'll try to find out what the hell's goin' on. When I see him I'll talk to him.
Person1: Okay.
Person2: All right?
Person1: Yeah.  Thanks.",1,rationalization
"Person1: Are you Klingman?
Person2: Who's asking?
Person1: Where can we talk?
Person2: Right here.
Person1: I represent the interests of the Corleone family.  We make the invitation to you to tie up your affairs and be out of the hotel by Monday morning.
Person2: Who do you think you're talking to?
Person1: You said you were Klingman.
Person2: You don't come in here, talk to an owner in Las Vegas like that.
Person1: You missed my point; you are no longer an owner.
Person2: Get out of my hotel.",1,intimidation
"Person1: Get a dance yet?
Person2: Nope.
Person1: Me neither.
Person2: Who'd you ask?
Person1: Tina Wilcox.
Person2: You're crazy.  She's Ed's girl friend.
Person1: Doesn't hurt to ask.  Sometimes the most beautiful girls are the loneliest.
Person2: That's a crock of shit.
Person1: I know.",0,
"Person1: Or what if there really was an error? -- I don't know what kind -- any kind that needed correcting -- and what if Burgel was responsible for it?  One mistake -- even a small one in a firm like ours -- it could cost him a promotion.
Person2: First these nameless authorities were the root of all evil, now it's insignificant Burgel.  If indeed there was a mistake -- and a minor one at that -- you're suggesting someone went to a lot of trouble over something so trivial as to not matter at all.
Person1: What seems important to these people is not determined by the amount of work it entails -- you're far from understanding the authorities if you believe that.
Person2: Now Burgel's one of the authorities?",0,
"Person1: That's what I'm trying to... to... okay, nevermind.  Just lemme talk to Joey to... to apologize.
Person2: He's in bed!  You're not gonna wake him and make him crazy, do you understand?  He comes home from the zoo, he wants to know if Elliot's a ""war hero"" like you... he wants to know how many people you killed...
Person1: ""Elliot""?  The heroic goddamn fireman?
Person2: I had to explain your tendancy to ""exaggerate"", How you were actually ""in country"" all of two weeks and how you killed about as many people as the other clerk-typists in your outfit, no more, no less...
Person1: Three weeks, Ev.  I didn't tell him I killed anybody...
Person2: Maybe not,... but you let him believe it!  And then I gotta explain about the homeless...
Person1: The homeless!
Person2: How not all of them own apartment complexes, how not all of them play the stock market, how not all of them rent babies when they're panhandling.  He's ten years old, Bernie!  Impressionable!",0,
"Person1: You see, Rose? Now that's the kind of dress you ought to wear.
Person2: Yeah, it's kinda nice.
Person1: You look very pretty in it, Rose. Really, you do.
Person2: Well, you're real sweet to make it for me.  There never was nobody like you. And you don't need to worry, I ain't goin' out no more.
Person1: Well, there's no reason you shouldn't go out, Rose... in moderation.
Person2: I don't want to. When I was lyin' there in that hospital bed at death's door I says to myself, I ain't goin' out no more. If I ever get outta this, I'll just stay home.",1,persuasion or seduction
"Person1: --and so determined to live that I'm going to get out and take a taxi if you don't watch where you're going.
Person2: I suppose this is going to sound absurd. I've only known you twenty-four hours, but I'm in love with you.
Person1: It doesn't usually take that long, but I'll forgive you -- you were in a tough spot when I met you.
Person2: No, really -- I'm crazy about you.
Person1: Oh, is that what caused it?
Person2: You don't believe me. You think I'm just talking. Will you marry me?
Person1: How much money have you got?
Person2: Heaven knows. A lot.
Person1: Well, that being the case, I'll take it up with the board of directors. Hey, listen, aviator, here we are!",0,
"Person1: Fucking.  She says fucking in front of an entire room of people.
Person2: I said I was sorry.
Person1: Did you hear it?",1,
"Person1: That's the whole point, Jeffrey. That's the whole point. Anyone's. Everyone's. They are gonna look under every rock, dig up every flaw, every mistake you've ever made. They are going to distort and exaggerate everything you've ever done, man. Don't you understand?
Person2: What does this have to do with my testimony?
Person1: That's not the point.
Person2: What does this have to do with my testimony?! I told the truth! It's valid and true and provable!
Person1: That's not the point, whether you told the truth or not! Hello...?
Person2: I told the truth... I told the truth.",0,
"Person1: I've analyzed the data, and I think we should switch our marketing strategy to target a younger demographic.
Person2: Oh, Lucas, always with a new theory. You think you’re so smart.
Person1: It's not about thinking I'm smart, Nina. It's about adapting to the market.
Person2: Maybe we should get more opinions before making any drastic changes.
Person1: That's fair. Let's discuss it in the next team meeting.",1,persuasion or seduction
"Person1: I mean, what is there to be happy about really? I mean, going to the gym, climbing the StairMaster, eating the yogurt, checking the voice mail. Smoking the low-tar cigarettes, shaving the bikini line. Sometimes I just want something different, you know?
Person2: What was your name again?
Person1: Erica.
Person2: Erica. So do you think you and I are alike, Erica?
Person1: Deep down. Way down.
Person2: It's a mistake to think that.
Person1: We could still talk, you know? It's nice to talk.
Person2: It's nice to do a lot of things.
Person1: That's what I mean.
Person2: I'm not a nice guy.
Person1: I know. It's okay.
Person2: Yeah?
Person1: Mm-hm. I'm a big girl. I can take care of myself. If I didn't want to be here, I'd be in a limo right now with a bunch of kids looking for Chinese food.
Person2: No, no, see, you, you don't understand.
Person1: Hay? Yeah? So teach me a lesson.",1,shaming or belittlement
"Person1: After you change, if you're not busy elsewhere, we can have supper.
Person2: I'd love to! Or should I pretend I'm busy?
Person1: Let's have a minimum of pretending. I'll want to do a column about you-
Person2: I'm not enough for a paragraph.
Person1: - perhaps more than one. There's so much I want to know. I've heard your story in bits and pieces... your home in Wisconsin, your tragic marriage, your financial attachment to Margo - it started in San Francisco, didn't it?  I say - your idolatry of Margo started in San Francisco, didn't it?
Person2: That's right.
Person1: San Francisco. An oasis of civilization in the California desert. Tell me, do you share my high opinion of San Francisco?
Person2: Yes. I do.
Person1: And that memorable night when Margo first dazzled you from the stage - which theater was it in San Francisco? Was it - the Shubert?
Person2: Yes. The Shubert.
Person1: A fine old theater, the Shubert. Full of tradition, untouched by the earthquake - so sorry - fire... by the way, what was your husband's name?
Person2: Eddie...
Person1: Eddie what?",0,
"Person1: I'm sorry to do this to ya here in front of a crowd, but I want ya to stand up and make a nice apology to my girl.
Person2: I'm sorry.",0,
"Person1: How could you do this to me tonight? I told you I had company
Person2: Sorry. It's important.",1,"rationalization,accusation"
"Person1: Well sure, look at it!  Young trophy wife, I mean, in the parlance of our times, owes money all over town, including to known pornographers-- and that's cool, that's cool-- but I'm saying, she needs money, and of course they're gonna say they didn't get it 'cause she wants more, man, she's gotta feed the monkey, I mean-- hasn't that ever occurred to you...? Sir?
Person2: No.  No Mr. Lebowski, that had not occurred to me.",0,
"Person1: Directing suits you.
Person2: I'm not so sure.  Look again in three months.
Person1: It must be nice having so many strangers kiss your ass all of a sudden.
Person2: Ow!  Gina, you obviously need to relax.
Person1: Just did.  Jealous?
Person2: When does he graduate high school?
Person1: Oh, very jealous.",1,
"Person1: There's a slot for a boss loader on the new pier we're opening up.
Person2: Boss loader!
Person1: Ten cents a hundred pounds on everything that moves in and out. And you don't have to lift a finger. It'll be three-four hundred a week just for openers.
Person2: And for all that dough I don't do nothin'?
Person1: Absolutely nothing. You do nothing and you say nothing. You understand, don't you, kid?
Person2: Yeah yeah I guess I do but there's a lot more to this whole thing than I thought, Charley.
Person1: You don't mean you're thinking of testifying against
Person2: I don't know I don't know! I tell you I ain't made up my mind yet. That's what I wanted to talk to you about.
Person1: Listen, Terry, these piers we handle through the locals you know what they're worth to us?
Person2: I know. I know.
Person1: Well, then, you know Cousin Johnny isn't going to jeopardize a setup like that for one rubber-lipped
Person2: Don't say that!
Person1: ex-tanker who's walking on his heels ?
Person2: Don't say that!
Person1: What the hell!!!
Person2: I could have been better!
Person1: The point is there isn't much time, kid.",1,
"Person1: Go home.
Person2: May I see my mother?
Person1: You do not want to be here.  Go home to your father.
Person2: She did not do it... please listen...
Person1: She is guilty.
Person2: No, sir, please... she is innocent...
Person1: She has confessed.
Person2: No.
Person1: She has admitted to her evil and signed a written confession.  Do you know what confession is?  All that is left for you now is to pray for her soul.",0,
"Person1: Then what do you do?
Person2: I sleep it off.
Person1: But between the time you leave the cant ma and fall into bed in that old truck of yours, what happens, Charlie?
Person2: I don't know.
Person1: That's just it, Charlie. That's what I'm driving at. You could do anything in that time.",0,
"Person1: Your family history is very important to you, isn't it?
Person2: Ever since I was a little boy, I remember hearing about the family line. The Picards that fought at Trafalgar, the Picards that settled the first Martian colony. When my brother married and had a son...",0,
"Person1: You had them eating out of your hand, kiddo.
Person2: They had their minds made up before I even went in there. They think I'm a head case.
Person1: You are a head case.  Have a donut.",0,
"Person1: Will, our offer starts you at eighty- four thousand a year, plus benefits.
Person2: Retainer...
Person1: You want us to give you cash right now?
Person2: Allegedly, what I am saying is your situation will be concurrently improved if I had two hundred sheets in my pocket right now.",1,
"Person1: Do you know what he's saying?
Person2: What who's saying?
Person1: Manzanita....  ... if one day I die, and you read this piece of paper, I want you to know how much I love you. Although I'll never see you again, Gypsy, Gypsy, your hair, your hair, your face, your face'",0,
"Person1: He's getting up.
Person2: You can't leave me then, can you?",1,persuasion or seduction
"Person1: I have this thing where I have to know a person is being honest with me before, you know, I can feel completely free to be myself.
Person2: We're strangers in the night. The last thing we want is honesty.
Person1: What do we want?
Person2: Mystery. Deception.
Person1: Deception isn't something I personally consider sexy.
Person2: What's sexy?
Person1: Knowing who a person is. Down deep.
Person2: Even if the truth about a person is sad or depressing or shocking?
Person1: You won't even tell me your name. What's shocking about a name?",1,
"Person1: And youdon't tell her.  What you're going to say.
Person2: Not use my words, please!
Person1: No, baby.  You're gonna use my words.",1,persuasion or seduction
"Person1: I can't go on like this.  I can't....  I don't just sit around and watch people.  If I make a mistake, it's all over.  You see it every day.  Do you want to see me taken away in pieces?
Person2: I don't want to lose you.",1,persuasion or seduction
"Person1: Isabella?  Are you crazy, man?  She almost got us killed.  She's setting you up again!
Person2: No.  I'm going to find out.
Person1: Wait a second.  There's guards all over the place.  You'll need a distraction.",1,
"Person1: Twenty-seven fifty-three... do you see it?  That must be it...
Person2: Great...
Person1: What?! It looks totally normal... what's wrong with it?
Person2: I said ""great""...
Person1: Oh yeah, I can tell you really love it!
Person2: Well, what am I supposed to say? ""I can't wait to live in some depressing shit-hole in the middle of nowhere""?!
Person1: There's something wrong with every single place we look at! Why don't you just come right out and tell me you don't want to move in with me?!
Person2: Because you'll freak out and act like a total psycho about it.",1,shaming or belittlement
"Person1: If you want an answer to that question I can always put one of my men on the job. Good afternoon, Mr. Cross.
Person2: Mr. Gittes!  You're dealing with a disturbed woman who's lost her husband. I don't want her taken advantage of. Sit down.
Person1: What for?
Person2: You may think you know what you're dealing with, but believe me, you don't.",0,
"Person1: I can't believe he put the moves on me. After everything I've done for him.
Person2: He's scum! As far as he's concerned you're just a pair of breasts that talk.",1,shaming or belittlement
"Person1: If I were you, I'd worry less about the shower and more about Rick's bachelor party.
Person2: Ilene, why would I want to do that? I trust Rick.
Person1: Of course you do. I trusted my ex, Mel, too. Cousin, I can only talk from experience. What do you think they do at these parties, have tea and play scrabble?
Person2: Ilene, Rick promised...
Person1: Debbie, don't be naive. Men are pigs.",1,persuasion or seduction
"Person1: Go on.
Person2: I like your bar.
Person1: Yes?
Person2: I want your bar.
Person1: And?
Person2: Do you want me to draw a picture?
Person1: Harry, that boy doesn't know his arsehole from his ear-hole, or you from a hoodwink. This bar is mine, and he has nothing to do with it.
Person2: What, and I care? Remember, you do have the luxurious advantage of being able to sustain your son's life.
Person1: And you do have a reputation, so I'll choose my words carefully. But not to put too fine a point on it, go away, Harry!",1,persuasion or seduction
"Person1: ... interview every employee, support staff, associates, partners. Did any of them know Andy was sick? How did they know? Did he tell them? Did they notice something was wrong with his appearance? None of this information got to the managing partners. We know that. Make sure everyone else does too... And Beckett, I want to know everything about his personal life. Did he frequent those pathetic bars on Camac Street?
Person2: Jesus.
Person1: What about other homosexual facilities, whatever they are?
Person2: Charles...
Person1: What deviant groups or organizations did he secretly belong to?  What is it, Bob?!
Person2: Let's settle with Andy and put this whole tragic mess behind us.",1,persuasion or seduction
"Person1: Look, you fit the profile exactly.  Thirties, house, kids, financial responsibilities.  You start thinking...this isnt the life I dreamt about.  Wheres the romance, wheres the joie de vivre?  Suddenly, every lingerie ad in the Newark Star Ledger represents a life you cant have...
Person2: Its just two kids, right?",0,
"Person1: It's just that, you know, I was thinking about how, in class, you're always telling us 'that writers make choices -- at least the good ones. And, don't get me wrong. I'm not saying the book isn't really great -- I mean, really great -- but at times it's, well, very detailed, you know, with the genealogies of everyone's horses and all the dental records and so on -- and I don't know, maybe I'm wrong, but it sort of reads, in places, like, well, actually, like...  ...you didn't make any choices at all. And I was wondering if it might not be different if, maybe, when you wrote, you weren't always... under the influence.
Person2: Uh huh. Well, thanks for the thought, but, as shocking as this may sound, I'm not the first writer to sip a little weed. And furthermore, it might interest you to know that one book I wrote, as you say, 'under the influence,' happened to win a little something called the PEN award which, by the way, I accepted 'under the influence.'",1,persuasion or seduction
"Person1: I don't have any money, Solomon. If you fire me --
Person2: -- I give you money, I give you a paycheck. Your sales suck, Don. I give, I give. When I find you, when I meet you, what? I put you on the billboard, I put you in the store, my salesman, my representation of Solomon and Solomon Electronic, Quiz Kid Donnie Smith from the game show --
Person1: I lent my name, my celebrity. Exactly --
Person2: I pay you, I paid you. I give you a chance and a chance and over and over, over you let me down.  I trust you with so much. The keys to my store, the codes to my locks, the life, the blood of my bussiness and return is smashing in seven-eleven, late, always late, loans -- I loaned you money for your kitchen that you never did --
Person1: I paid you back.
Person2: Two years! Two years later and out of your paycheck, I never charge interest --
Person1: Solomon, please.  Please.  I am so messed here if you do this.  This is the worst timing. The worst timing I could ever imagine. I need to keep working.  I have so many debts, so many things, I have, I have, I have -- I have surgery -- I have my oral surgery coming --",1,"playing victim role,accusation"
"Person1: He was curious from birth - premature by two weeks, as if he couldn't wait to get started.
Person2: Of course, his eagerness to leave his mother's womb also meant he was the one selected.
Person1: In competition with five other unwanted pregnancies - the casting of a show determined by an air date - he was the one who arrived on cue.
Person2: Who knew that a show originally meant to last one year - ""Bringing Up Baby"" - would turn into a ""cradle to grave"" concept.  He is in fact the first child in the world to be legally adopted by a corporation.
Person1: That's correct.
Person2: And the show now generates a yearly income equivalent to the gross national product of a small country.
Person1: People forget it takes the population of an entire country to keep the show running.
Person2: No, of course not.  And since the show runs 24 hours a day with no commercial breaks the staggering profits are all generated from product placement.
Person1: Yes, everything you see on the show is for sale - from the actors' wardrobe, food products, to the very homes they live in--
Person2: All products carefully chosen and tested by you for quality and aesthetic value.
Person1: There's nothing on the show I don't use myself.
Person2: And it's all available in the ""Truman"" Show"" catalogue.  Operators are standing by.",0,
"Person1: ...Just a second here, I'll give you a receipt on the, uh... Whoa, Nellie... Oh, by the way, we didn't talk about this, I, uh, I think I'm gonna call the place Tolliver's, after me, you know, I didn't think you were much interested in, uh--
Person2: That'll be fine.
Person1: Yeah, good. Lemme just, uh...",0,
"Person1: By the way, I'm not much of a pool player.
Person2: Shit, it ain't hard to play pool. I can teach you everything ya need ta know.
Person1: Yeah?
Person2: Hell yeah! I'll even spot ya a few points first game.
Person1: Wait a minute. You're gonna hustle me?
Person2: Nah... how much money have you got?",0,
"Person1: I'm a very observant man. You had something in your bag this afternoon, Something that causes you to hold it in a particular way. Something that made a particular sound when you put it down on the bar. You went out with Mitchell. None of us ever saw him again.
Person2: That's not enough.
Person1: I saw your face this evening when the detective showed you the gun. You lied. It was obvious.
Person2: He saw my face too.
Person1: So he did--but he hasn't told you what he saw. I have.
Person2: They'll arrest that girl. Everything points to her.
Person1: Convenient, isn't it?",0,
"Person1: You're out of line, Starling, and you're off this case. Back to Quantico.
Person2: Sir, Mr. Crawford instructed me -
Person1: Your instructions are what I'm giving you now. Jack Crawford answers to the Director, and the Director answers to me. My God, Crawford's losing it...! He shouldn't even be on this, with his wife sick as she is... How the hell did you get in here, anyway? He gave you - what? Some kind of special ID? Let's have it.
Person2: I need the ID to fly with my gun. The gun belongs in Quantico.
Person1: Gun. Jesus. Turn in the ID as soon as you get back. The gun, too. Be on the next plane, Starling, there's one in 90 minutes.",0,
"Person1: It's just an innocent question.  Besides I just wanted to clarify your intentions.
Person2: Whaddya mean?
Person1: Well I just wanted to make sure you know, fully and completely, that you're never gonna get any from me, at least in this lifetime.",0,
"Person1: Where were you for the last hour? I've been lookin' for you?
Person2: I was right behind you, but you're too dumb to turn around.  If he turned around he might get dizzy and fall down.",0,
"Person1: Now how's your memory doing?
Person2: Get lost. I don't know what the heck you're talking about.
Person1: Maybe I better ask around, see what your pals think.
Person2: I don't care who you ask.",0,
"Person1: Now. Where were we? Oh, yes. Kip.
Person2: I don't want him hurt...",0,
"Person1: We have to lose the window.
Person2: ...we can't lose the wind...
Person1: Then I can't do this shot...you wants me to push in--I can't push in through the window...We go back to New Hampshire?",1,intimidation
"Person1: Dine and dance tonight? I've got fifty bucks to throw away.
Person2: Not tonight.
Person1: What's the matter?
Person2: I'm not in the mood for dining and dancing.
Person1: We have some nice places around Vancouver.
Person2: I'm sure you have.
Person1: Well, how about a breeze up to the penthouse about six o'clock?  A friend of mine is throwing a cocktail party up there.
Person2: I haven't been invited.
Person1: Nobody gets invited to Clark Brandon's parties. They just go.
Person2: Perhaps I'd better get you straightened out, Mr. Mitchell. You've been rather nice to me, in a couple of ways. And I'm grateful. But I don't think this entitles you to put me on a leash.
Person1: Nobody I'd rather have on a leash.",1,persuasion or seduction
"Person1: Who are you? -- An embezzler most likely.
Person2: An embezzler -- you're going to take that back, right here in the presence of this young lady -- who do you think you're talking to? You think I'm dirt, if I'm dirt, you're a lot dirtier, Mr. Industrial Magnate Preysing.
Person1: You're discharged.
Person2: Me?
Person1: Yes you -- shut your mouth -- get out -- you're discharged.",0,
